Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;04 Balears, Illes;86  Actividades sanitarias;Cero;332
Total Nacional;04 Balears, Illes;86  Actividades sanitarias;1 a 4;18
Total Nacional;04 Balears, Illes;86  Actividades sanitarias;5 a 9;0
Total Nacional;04 Balears, Illes;86  Actividades sanitarias;10 y más;1
Total Nacional;04 Balears, Illes;87  Asistencia en establecimientos residenciales;Total;1
Total Nacional;04 Balears, Illes;87  Asistencia en establecimientos residenciales;Cero;0
Total Nacional;04 Balears, Illes;87  Asistencia en establecimientos residenciales;1 a 4;0
Total Nacional;04 Balears, Illes;87  Asistencia en establecimientos residenciales;5 a 9;0
Total Nacional;04 Balears, Illes;87  Asistencia en establecimientos residenciales;10 y más;1
Total Nacional;04 Balears, Illes;88  Actividades de servicios sociales sin alojamiento;Total;7
Total Nacional;04 Balears, Illes;88  Actividades de servicios sociales sin alojamiento;Cero;4
Total Nacional;04 Balears, Illes;88  Actividades de servicios sociales sin alojamiento;1 a 4;3
Total Nacional;04 Balears, Illes;88  Actividades de servicios sociales sin alojamiento;5 a 9;0
Total Nacional;04 Balears, Illes;88  Actividades de servicios sociales sin alojamiento;10 y más;0
Total Nacional;04 Balears, Illes;90  Actividades de creación, artísticas y espectáculos;Total;157
Total Nacional;04 Balears, Illes;90  Actividades de creación, artísticas y espectáculos;Cero;154
Total Nacional;04 Balears, Illes;90  Actividades de creación, artísticas y espectáculos;1 a 4;3
Total Nacional;04 Balears, Illes;90  Actividades de creación, artísticas y espectáculos;5 a 9;0
Total Nacional;04 Balears, Illes;90  Actividades de creación, artísticas y espectáculos;10 y más;0
Total Nacional;04 Balears, Illes;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Total;10
Total Nacional;04 Balears, Illes;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;Cero;10
Total Nacional;04 Balears, Illes;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;1 a 4;0
Total Nacional;04 Balears, Illes;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;5 a 9;0
Total Nacional;04 Balears, Illes;91  Actividades de bibliotecas, archivos, museos y otras actividades culturales;10 y más;0
Total Nacional;04 Balears, Illes;92  Actividades de juegos de azar y apuestas;Total;8
Total Nacional;04 Balears, Illes;92  Actividades de juegos de azar y apuestas;Cero;6
Total Nacional;04 Balears, Illes;92  Actividades de juegos de azar y apuestas;1 a 4;2
Total Nacional;04 Balears, Illes;92  Actividades de juegos de azar y apuestas;5 a 9;0
Total Nacional;04 Balears, Illes;92  Actividades de juegos de azar y apuestas;10 y más;0
Total Nacional;04 Balears, Illes;93  Actividades deportivas, recreativas y de entretenimiento;Total;163
Total Nacional;04 Balears, Illes;93  Actividades deportivas, recreativas y de entretenimiento;Cero;118
Total Nacional;04 Balears, Illes;93  Actividades deportivas, recreativas y de entretenimiento;1 a 4;39
Total Nacional;04 Balears, Illes;93  Actividades deportivas, recreativas y de entretenimiento;5 a 9;6
Total Nacional;04 Balears, Illes;93  Actividades deportivas, recreativas y de entretenimiento;10 y más;0
Total Nacional;04 Balears, Illes;94  Actividades asociativas;Total;55
Total Nacional;04 Balears, Illes;94  Actividades asociativas;Cero;32
Total Nacional;04 Balears, Illes;94  Actividades asociativas;1 a 4;22
Total Nacional;04 Balears, Illes;94  Actividades asociativas;5 a 9;1
Total Nacional;04 Balears, Illes;94  Actividades asociativas;10 y más;0
Total Nacional;04 Balears, Illes;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Total;95
Total Nacional;04 Balears, Illes;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;Cero;89
Total Nacional;04 Balears, Illes;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;1 a 4;5
Total Nacional;04 Balears, Illes;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;5 a 9;1
Total Nacional;04 Balears, Illes;95  Reparación de ordenadores, efectos personales y artículos de uso doméstico;10 y más;0
Total Nacional;04 Balears, Illes;96  Otros servicios personales;Total;461
Total Nacional;04 Balears, Illes;96  Otros servicios personales;Cero;382
Total Nacional;04 Balears, Illes;96  Otros servicios personales;1 a 4;72
Total Nacional;04 Balears, Illes;96  Otros servicios personales;5 a 9;6
Total Nacional;04 Balears, Illes;96  Otros servicios personales;10 y más;1
Total Nacional;05 Canarias;Todas las actividades;Total;12.901
Total Nacional;05 Canarias;Todas las actividades;Cero;10.633
Total Nacional;05 Canarias;Todas las actividades;1 a 4;1.971
Total Nacional;05 Canarias;Todas las actividades;5 a 9;238
Total Nacional;05 Canarias;Todas las actividades;10 y más;59
Total Nacional;05 Canarias;05  Extracción de antracita, hulla y lignito;Total;0
Total Nacional;05 Canarias;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;05 Canarias;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;05 Canarias;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;05 Canarias;05  Extracción de antracita, hulla y lignito;10 y más;0
Total Nacional;05 Canarias;06  Extracción de crudo de petróleo y gas natural;Total;0
Total Nacional;05 Canarias;06  Extracción de crudo de petróleo y gas natural;Cero;0
Total Nacional;05 Canarias;06  Extracción de crudo de petróleo y gas natural;1 a 4;0
Total Nacional;05 Canarias;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;05 Canarias;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;05 Canarias;07  Extracción de minerales metálicos;Total;0
Total Nacional;05 Canarias;07  Extracción de minerales metálicos;Cero;0
Total Nacional;05 Canarias;07  Extracción de minerales metálicos;1 a 4;0
Total Nacional;05 Canarias;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;05 Canarias;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;05 Canarias;08  Otras industrias extractivas;Total;0
Total Nacional;05 Canarias;08  Otras industrias extractivas;Cero;0
Total Nacional;05 Canarias;08  Otras industrias extractivas;1 a 4;0
Total Nacional;05 Canarias;08  Otras industrias extractivas;5 a 9;0
Total Nacional;05 Canarias;08  Otras industrias extractivas;10 y más;0
Total Nacional;05 Canarias;09  Actividades de apoyo a las industrias extractivas;Total;0
Total Nacional;05 Canarias;09  Actividades de apoyo a las industrias extractivas;Cero;0
Total Nacional;05 Canarias;09  Actividades de apoyo a las industrias extractivas;1 a 4;0
Total Nacional;05 Canarias;09  Actividades de apoyo a las industrias extractivas;5 a 9;0
Total Nacional;05 Canarias;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;05 Canarias;10  Industria de la alimentación;Total;54
Total Nacional;05 Canarias;10  Industria de la alimentación;Cero;33
Total Nacional;05 Canarias;10  Industria de la alimentación;1 a 4;13
Total Nacional;05 Canarias;10  Industria de la alimentación;5 a 9;3
Total Nacional;05 Canarias;10  Industria de la alimentación;10 y más;5
Total Nacional;05 Canarias;11  Fabricación de bebidas;Total;7
Total Nacional;05 Canarias;11  Fabricación de bebidas;Cero;6
Total Nacional;05 Canarias;11  Fabricación de bebidas;1 a 4;1
Total Nacional;05 Canarias;11  Fabricación de bebidas;5 a 9;0
Total Nacional;05 Canarias;11  Fabricación de bebidas;10 y más;0
Total Nacional;05 Canarias;12  Industria del tabaco;Total;2
Total Nacional;05 Canarias;12  Industria del tabaco;Cero;2
Total Nacional;05 Canarias;12  Industria del tabaco;1 a 4;0
Total Nacional;05 Canarias;12  Industria del tabaco;5 a 9;0
Total Nacional;05 Canarias;12  Industria del tabaco;10 y más;0
Total Nacional;05 Canarias;13  Industria textil;Total;27
Total Nacional;05 Canarias;13  Industria textil;Cero;25
Total Nacional;05 Canarias;13  Industria textil;1 a 4;2
Total Nacional;05 Canarias;13  Industria textil;5 a 9;0
Total Nacional;05 Canarias;13  Industria textil;10 y más;0
Total Nacional;05 Canarias;14  Confección de prendas de vestir;Total;29
Total Nacional;05 Canarias;14  Confección de prendas de vestir;Cero;26
Total Nacional;05 Canarias;14  Confección de prendas de vestir;1 a 4;3
Total Nacional;05 Canarias;14  Confección de prendas de vestir;5 a 9;0
Total Nacional;05 Canarias;14  Confección de prendas de vestir;10 y más;0
Total Nacional;05 Canarias;15  Industria del cuero y del calzado;Total;0
Total Nacional;05 Canarias;15  Industria del cuero y del calzado;Cero;0
Total Nacional;05 Canarias;15  Industria del cuero y del calzado;1 a 4;0
Total Nacional;05 Canarias;15  Industria del cuero y del calzado;5 a 9;0
Total Nacional;05 Canarias;15  Industria del cuero y del calzado;10 y más;0
Total Nacional;05 Canarias;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;5
Total Nacional;05 Canarias;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;4
Total Nacional;05 Canarias;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;1
Total Nacional;05 Canarias;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;0
Total Nacional;05 Canarias;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;0
Total Nacional;05 Canarias;17  Industria del papel;Total;0
Total Nacional;05 Canarias;17  Industria del papel;Cero;0
Total Nacional;05 Canarias;17  Industria del papel;1 a 4;0
Total Nacional;05 Canarias;17  Industria del papel;5 a 9;0
Total Nacional;05 Canarias;17  Industria del papel;10 y más;0
Total Nacional;05 Canarias;18  Artes gráficas y reproducción de soportes grabados;Total;50
Total Nacional;05 Canarias;18  Artes gráficas y reproducción de soportes grabados;Cero;50
Total Nacional;05 Canarias;18  Artes gráficas y reproducción de soportes grabados;1 a 4;0
Total Nacional;05 Canarias;18  Artes gráficas y reproducción de soportes grabados;5 a 9;0
Total Nacional;05 Canarias;18  Artes gráficas y reproducción de soportes grabados;10 y más;0
Total Nacional;05 Canarias;19  Coquerías y refino de petróleo;Total;0
Total Nacional;05 Canarias;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;05 Canarias;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;05 Canarias;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;05 Canarias;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;05 Canarias;20  Industria química;Total;3
Total Nacional;05 Canarias;20  Industria química;Cero;3
Total Nacional;05 Canarias;20  Industria química;1 a 4;0
Total Nacional;05 Canarias;20  Industria química;5 a 9;0
Total Nacional;05 Canarias;20  Industria química;10 y más;0
Total Nacional;05 Canarias;21  Fabricación de productos farmacéuticos;Total;1
Total Nacional;05 Canarias;21  Fabricación de productos farmacéuticos;Cero;0
Total Nacional;05 Canarias;21  Fabricación de productos farmacéuticos;1 a 4;1
Total Nacional;05 Canarias;21  Fabricación de productos farmacéuticos;5 a 9;0
Total Nacional;05 Canarias;21  Fabricación de productos farmacéuticos;10 y más;0
Total Nacional;05 Canarias;22  Fabricación de productos de caucho y plásticos;Total;2
Total Nacional;05 Canarias;22  Fabricación de productos de caucho y plásticos;Cero;1
Total Nacional;05 Canarias;22  Fabricación de productos de caucho y plásticos;1 a 4;1
Total Nacional;05 Canarias;22  Fabricación de productos de caucho y plásticos;5 a 9;0
Total Nacional;05 Canarias;22  Fabricación de productos de caucho y plásticos;10 y más;0
Total Nacional;05 Canarias;23  Fabricación de otros productos minerales no metálicos;Total;1
Total Nacional;05 Canarias;23  Fabricación de otros productos minerales no metálicos;Cero;1
Total Nacional;05 Canarias;23  Fabricación de otros productos minerales no metálicos;1 a 4;0
Total Nacional;05 Canarias;23  Fabricación de otros productos minerales no metálicos;5 a 9;0
Total Nacional;05 Canarias;23  Fabricación de otros productos minerales no metálicos;10 y más;0
Total Nacional;05 Canarias;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;1
Total Nacional;05 Canarias;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;1
Total Nacional;05 Canarias;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;0
Total Nacional;05 Canarias;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;05 Canarias;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
Total Nacional;05 Canarias;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Total;57
Total Nacional;05 Canarias;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Cero;45
Total Nacional;05 Canarias;25  Fabricación de productos metálicos, excepto maquinaria y equipo;1 a 4;9
Total Nacional;05 Canarias;25  Fabricación de productos metálicos, excepto maquinaria y equipo;5 a 9;2
Total Nacional;05 Canarias;25  Fabricación de productos metálicos, excepto maquinaria y equipo;10 y más;1
Total Nacional;05 Canarias;26  Fabricación de productos informáticos, electrónicos y ópticos;Total;2
Total Nacional;05 Canarias;26  Fabricación de productos informáticos, electrónicos y ópticos;Cero;2
Total Nacional;05 Canarias;26  Fabricación de productos informáticos, electrónicos y ópticos;1 a 4;0
Total Nacional;05 Canarias;26  Fabricación de productos informáticos, electrónicos y ópticos;5 a 9;0
Total Nacional;05 Canarias;26  Fabricación de productos informáticos, electrónicos y ópticos;10 y más;0
Total Nacional;05 Canarias;27  Fabricación de material y equipo eléctrico;Total;5
Total Nacional;05 Canarias;27  Fabricación de material y equipo eléctrico;Cero;2
Total Nacional;05 Canarias;27  Fabricación de material y equipo eléctrico;1 a 4;3
Total Nacional;05 Canarias;27  Fabricación de material y equipo eléctrico;5 a 9;0
Total Nacional;05 Canarias;27  Fabricación de material y equipo eléctrico;10 y más;0
Total Nacional;05 Canarias;28  Fabricación de maquinaria y equipo n.c.o.p.;Total;2
Total Nacional;05 Canarias;28  Fabricación de maquinaria y equipo n.c.o.p.;Cero;2
Total Nacional;05 Canarias;28  Fabricación de maquinaria y equipo n.c.o.p.;1 a 4;0
Total Nacional;05 Canarias;28  Fabricación de maquinaria y equipo n.c.o.p.;5 a 9;0
Total Nacional;05 Canarias;28  Fabricación de maquinaria y equipo n.c.o.p.;10 y más;0
Total Nacional;05 Canarias;29  Fabricación de vehículos de motor, remolques y semirremolques;Total;1
Total Nacional;05 Canarias;29  Fabricación de vehículos de motor, remolques y semirremolques;Cero;1
Total Nacional;05 Canarias;29  Fabricación de vehículos de motor, remolques y semirremolques;1 a 4;0
Total Nacional;05 Canarias;29  Fabricación de vehículos de motor, remolques y semirremolques;5 a 9;0
Total Nacional;05 Canarias;29  Fabricación de vehículos de motor, remolques y semirremolques;10 y más;0
Total Nacional;05 Canarias;30  Fabricación de otro material de transporte;Total;0
Total Nacional;05 Canarias;30  Fabricación de otro material de transporte;Cero;0
Total Nacional;05 Canarias;30  Fabricación de otro material de transporte;1 a 4;0
Total Nacional;05 Canarias;30  Fabricación de otro material de transporte;5 a 9;0
Total Nacional;05 Canarias;30  Fabricación de otro material de transporte;10 y más;0
Total Nacional;05 Canarias;31  Fabricación de muebles;Total;12
Total Nacional;05 Canarias;31  Fabricación de muebles;Cero;9
Total Nacional;05 Canarias;31  Fabricación de muebles;1 a 4;2
Total Nacional;05 Canarias;31  Fabricación de muebles;5 a 9;1
Total Nacional;05 Canarias;31  Fabricación de muebles;10 y más;0
Total Nacional;05 Canarias;32  Otras industrias manufactureras;Total;26
Total Nacional;05 Canarias;32  Otras industrias manufactureras;Cero;23
Total Nacional;05 Canarias;32  Otras industrias manufactureras;1 a 4;3
Total Nacional;05 Canarias;32  Otras industrias manufactureras;5 a 9;0
Total Nacional;05 Canarias;32  Otras industrias manufactureras;10 y más;0
Total Nacional;05 Canarias;33  Reparación e instalación de maquinaria y equipo;Total;31
Total Nacional;05 Canarias;33  Reparación e instalación de maquinaria y equipo;Cero;20
Total Nacional;05 Canarias;33  Reparación e instalación de maquinaria y equipo;1 a 4;9
Total Nacional;05 Canarias;33  Reparación e instalación de maquinaria y equipo;5 a 9;2
Total Nacional;05 Canarias;33  Reparación e instalación de maquinaria y equipo;10 y más;0
Total Nacional;05 Canarias;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Total;1
Total Nacional;05 Canarias;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Cero;0
Total Nacional;05 Canarias;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;1 a 4;1
Total Nacional;05 Canarias;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;5 a 9;0
Total Nacional;05 Canarias;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;10 y más;0
Total Nacional;05 Canarias;36  Captación, depuración y distribución de agua;Total;12
Total Nacional;05 Canarias;36  Captación, depuración y distribución de agua;Cero;7
Total Nacional;05 Canarias;36  Captación, depuración y distribución de agua;1 a 4;5
Total Nacional;05 Canarias;36  Captación, depuración y distribución de agua;5 a 9;0
Total Nacional;05 Canarias;36  Captación, depuración y distribución de agua;10 y más;0
Total Nacional;05 Canarias;37  Recogida y tratamiento de aguas residuales;Total;0
Total Nacional;05 Canarias;37  Recogida y tratamiento de aguas residuales;Cero;0
Total Nacional;05 Canarias;37  Recogida y tratamiento de aguas residuales;1 a 4;0
Total Nacional;05 Canarias;37  Recogida y tratamiento de aguas residuales;5 a 9;0
Total Nacional;05 Canarias;37  Recogida y tratamiento de aguas residuales;10 y más;0
Total Nacional;05 Canarias;38  Recogida, tratamiento y eliminación de residuos valorización;Total;5
Total Nacional;05 Canarias;38  Recogida, tratamiento y eliminación de residuos valorización;Cero;4
Total Nacional;05 Canarias;38  Recogida, tratamiento y eliminación de residuos valorización;1 a 4;1
Total Nacional;05 Canarias;38  Recogida, tratamiento y eliminación de residuos valorización;5 a 9;0
Total Nacional;05 Canarias;38  Recogida, tratamiento y eliminación de residuos valorización;10 y más;0
Total Nacional;05 Canarias;39  Actividades de descontaminación y otros servicios de gestión de residuos;Total;5
Total Nacional;05 Canarias;39  Actividades de descontaminación y otros servicios de gestión de residuos;Cero;5
Total Nacional;05 Canarias;39  Actividades de descontaminación y otros servicios de gestión de residuos;1 a 4;0
Total Nacional;05 Canarias;39  Actividades de descontaminación y otros servicios de gestión de residuos;5 a 9;0
Total Nacional;05 Canarias;39  Actividades de descontaminación y otros servicios de gestión de residuos;10 y más;0
Total Nacional;05 Canarias;41  Construcción de edificios;Total;999
Total Nacional;05 Canarias;41  Construcción de edificios;Cero;836
Total Nacional;05 Canarias;41  Construcción de edificios;1 a 4;118
Total Nacional;05 Canarias;41  Construcción de edificios;5 a 9;34
Total Nacional;05 Canarias;41  Construcción de edificios;10 y más;11
Total Nacional;05 Canarias;42  Ingeniería civil;Total;3
Total Nacional;05 Canarias;42  Ingeniería civil;Cero;0
Total Nacional;05 Canarias;42  Ingeniería civil;1 a 4;2
Total Nacional;05 Canarias;42  Ingeniería civil;5 a 9;1
Total Nacional;05 Canarias;42  Ingeniería civil;10 y más;0
Total Nacional;05 Canarias;43  Actividades de construcción especializada;Total;562
Total Nacional;05 Canarias;43  Actividades de construcción especializada;Cero;417
Total Nacional;05 Canarias;43  Actividades de construcción especializada;1 a 4;128
Total Nacional;05 Canarias;43  Actividades de construcción especializada;5 a 9;13
Total Nacional;05 Canarias;43  Actividades de construcción especializada;10 y más;4
Total Nacional;05 Canarias;45  Venta y reparación de vehículos de motor y motocicletas;Total;282
Total Nacional;05 Canarias;45  Venta y reparación de vehículos de motor y motocicletas;Cero;229
Total Nacional;05 Canarias;45  Venta y reparación de vehículos de motor y motocicletas;1 a 4;50
Total Nacional;05 Canarias;45  Venta y reparación de vehículos de motor y motocicletas;5 a 9;2
Total Nacional;05 Canarias;45  Venta y reparación de vehículos de motor y motocicletas;10 y más;1
Total Nacional;05 Canarias;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Total;552
Total Nacional;05 Canarias;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Cero;487
Total Nacional;05 Canarias;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1 a 4;56
Total Nacional;05 Canarias;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;5 a 9;9
Total Nacional;05 Canarias;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;10 y más;0
Total Nacional;05 Canarias;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Total;1.377
Total Nacional;05 Canarias;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Cero;1.068
Total Nacional;05 Canarias;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;1 a 4;276
Total Nacional;05 Canarias;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;5 a 9;29
Total Nacional;05 Canarias;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;10 y más;4
Total Nacional;05 Canarias;49  Transporte terrestre y por tubería;Total;230
Total Nacional;05 Canarias;49  Transporte terrestre y por tubería;Cero;188
Total Nacional;05 Canarias;49  Transporte terrestre y por tubería;1 a 4;35
Total Nacional;05 Canarias;49  Transporte terrestre y por tubería;5 a 9;6
Total Nacional;05 Canarias;49  Transporte terrestre y por tubería;10 y más;1
Total Nacional;05 Canarias;50  Transporte marítimo y por vías navegables interiores;Total;8
Total Nacional;05 Canarias;50  Transporte marítimo y por vías navegables interiores;Cero;6
Total Nacional;05 Canarias;50  Transporte marítimo y por vías navegables interiores;1 a 4;2
Total Nacional;05 Canarias;50  Transporte marítimo y por vías navegables interiores;5 a 9;0
Total Nacional;05 Canarias;50  Transporte marítimo y por vías navegables interiores;10 y más;0
Total Nacional;05 Canarias;51  Transporte aéreo;Total;5
Total Nacional;05 Canarias;51  Transporte aéreo;Cero;4
Total Nacional;05 Canarias;51  Transporte aéreo;1 a 4;1
Total Nacional;05 Canarias;51  Transporte aéreo;5 a 9;0
Total Nacional;05 Canarias;51  Transporte aéreo;10 y más;0
Total Nacional;05 Canarias;52  Almacenamiento y actividades anexas al transporte;Total;37
Total Nacional;05 Canarias;52  Almacenamiento y actividades anexas al transporte;Cero;32
Total Nacional;05 Canarias;52  Almacenamiento y actividades anexas al transporte;1 a 4;5
Total Nacional;05 Canarias;52  Almacenamiento y actividades anexas al transporte;5 a 9;0
Total Nacional;05 Canarias;52  Almacenamiento y actividades anexas al transporte;10 y más;0
Total Nacional;05 Canarias;53  Actividades postales y de correos;Total;360
Total Nacional;05 Canarias;53  Actividades postales y de correos;Cero;358
Total Nacional;05 Canarias;53  Actividades postales y de correos;1 a 4;2
Total Nacional;05 Canarias;53  Actividades postales y de correos;5 a 9;0
Total Nacional;05 Canarias;53  Actividades postales y de correos;10 y más;0
Total Nacional;05 Canarias;55  Servicios de alojamiento;Total;146
Total Nacional;05 Canarias;55  Servicios de alojamiento;Cero;129
Total Nacional;05 Canarias;55  Servicios de alojamiento;1 a 4;16
Total Nacional;05 Canarias;55  Servicios de alojamiento;5 a 9;1
Total Nacional;05 Canarias;55  Servicios de alojamiento;10 y más;0
Total Nacional;05 Canarias;56  Servicios de comidas y bebidas;Total;1.301
Total Nacional;05 Canarias;56  Servicios de comidas y bebidas;Cero;550
Total Nacional;05 Canarias;56  Servicios de comidas y bebidas;1 a 4;658
Total Nacional;05 Canarias;56  Servicios de comidas y bebidas;5 a 9;83
Total Nacional;05 Canarias;56  Servicios de comidas y bebidas;10 y más;10
Total Nacional;05 Canarias;58  Edición;Total;50
Total Nacional;05 Canarias;58  Edición;Cero;48
Total Nacional;05 Canarias;58  Edición;1 a 4;2
Total Nacional;05 Canarias;58  Edición;5 a 9;0
Total Nacional;05 Canarias;58  Edición;10 y más;0
Total Nacional;05 Canarias;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Total;62
Total Nacional;05 Canarias;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;Cero;46
Total Nacional;05 Canarias;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;1 a 4;11
Total Nacional;05 Canarias;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;5 a 9;1
Total Nacional;05 Canarias;59  Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;10 y más;4
Total Nacional;05 Canarias;60  Actividades de programación y emisión de radio y televisión;Total;4
Total Nacional;05 Canarias;60  Actividades de programación y emisión de radio y televisión;Cero;4
Total Nacional;05 Canarias;60  Actividades de programación y emisión de radio y televisión;1 a 4;0
Total Nacional;05 Canarias;60  Actividades de programación y emisión de radio y televisión;5 a 9;0
Total Nacional;05 Canarias;60  Actividades de programación y emisión de radio y televisión;10 y más;0
Total Nacional;05 Canarias;61  Telecomunicaciones;Total;23
Total Nacional;05 Canarias;61  Telecomunicaciones;Cero;22
Total Nacional;05 Canarias;61  Telecomunicaciones;1 a 4;1
Total Nacional;05 Canarias;61  Telecomunicaciones;5 a 9;0
Total Nacional;05 Canarias;61  Telecomunicaciones;10 y más;0
Total Nacional;05 Canarias;62  Programación, consultoría y otras actividades relacionadas con la informática;Total;200
Total Nacional;05 Canarias;62  Programación, consultoría y otras actividades relacionadas con la informática;Cero;179
Total Nacional;05 Canarias;62  Programación, consultoría y otras actividades relacionadas con la informática;1 a 4;18
Total Nacional;05 Canarias;62  Programación, consultoría y otras actividades relacionadas con la informática;5 a 9;3
Total Nacional;05 Canarias;62  Programación, consultoría y otras actividades relacionadas con la informática;10 y más;0
Total Nacional;05 Canarias;63  Servicios de información;Total;39
Total Nacional;05 Canarias;63  Servicios de información;Cero;34
Total Nacional;05 Canarias;63  Servicios de información;1 a 4;5
Total Nacional;05 Canarias;63  Servicios de información;5 a 9;0
Total Nacional;05 Canarias;63  Servicios de información;10 y más;0
Total Nacional;05 Canarias;64  Servicios financieros, excepto seguros y fondos de pensiones;Total;6
Total Nacional;05 Canarias;64  Servicios financieros, excepto seguros y fondos de pensiones;Cero;3
Total Nacional;05 Canarias;64  Servicios financieros, excepto seguros y fondos de pensiones;1 a 4;3
Total Nacional;05 Canarias;64  Servicios financieros, excepto seguros y fondos de pensiones;5 a 9;0
Total Nacional;05 Canarias;64  Servicios financieros, excepto seguros y fondos de pensiones;10 y más;0
Total Nacional;05 Canarias;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Total;1
Total Nacional;05 Canarias;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;Cero;1
Total Nacional;05 Canarias;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;1 a 4;0
Total Nacional;05 Canarias;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;5 a 9;0
Total Nacional;05 Canarias;65  Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;10 y más;0
Total Nacional;05 Canarias;66  Actividades auxiliares a los servicios financieros y a los seguros;Total;330
Total Nacional;05 Canarias;66  Actividades auxiliares a los servicios financieros y a los seguros;Cero;317
Total Nacional;05 Canarias;66  Actividades auxiliares a los servicios financieros y a los seguros;1 a 4;12
Total Nacional;05 Canarias;66  Actividades auxiliares a los servicios financieros y a los seguros;5 a 9;1
Total Nacional;05 Canarias;66  Actividades auxiliares a los servicios financieros y a los seguros;10 y más;0
Total Nacional;05 Canarias;68  Actividades inmobiliarias;Total;543
Total Nacional;05 Canarias;68  Actividades inmobiliarias;Cero;524
Total Nacional;05 Canarias;68  Actividades inmobiliarias;1 a 4;19
Total Nacional;05 Canarias;68  Actividades inmobiliarias;5 a 9;0
Total Nacional;05 Canarias;68  Actividades inmobiliarias;10 y más;0
Total Nacional;05 Canarias;69  Actividades jurídicas y de contabilidad;Total;195
Total Nacional;05 Canarias;69  Actividades jurídicas y de contabilidad;Cero;160
Total Nacional;05 Canarias;69  Actividades jurídicas y de contabilidad;1 a 4;34
Total Nacional;05 Canarias;69  Actividades jurídicas y de contabilidad;5 a 9;0
Total Nacional;05 Canarias;69  Actividades jurídicas y de contabilidad;10 y más;1
