CPRO;LITPRO;CUMUN;LITMUN;CUDIS;BI_ALVHEPCO_TVC_15;BI_ALVHEPCO_TVU_15;ALQM2mes_LV_M_VC_15;ALQM2mes_LV_25_VC_15;ALQM2mes_LV_75_VC_15;ALQM2mes_LV_M_VU_15;ALQM2mes_LV_25_VU_15;ALQM2mes_LV_75_VU_15;ALQTBID12_M_VC_15;ALQTBID12_25_VC_15;ALQTBID12_75_VC_15;ALQTBID12_M_VU_15;ALQTBID12_25_VU_15;ALQTBID12_75_VU_15;SLVM2_M_VC_15;SLVM2_25_VC_15;SLVM2_75_VC_15;SLVM2_M_VU_15;SLVM2_25_VU_15;SLVM2_75_VU_15;BI_ALVHEPCO_TVC_16;BI_ALVHEPCO_TVU_16;ALQM2mes_LV_M_VC_16;ALQM2mes_LV_25_VC_16;ALQM2mes_LV_75_VC_16;ALQM2mes_LV_M_VU_16;ALQM2mes_LV_25_VU_16;ALQM2mes_LV_75_VU_16;ALQTBID12_M_VC_16;ALQTBID12_25_VC_16;ALQTBID12_75_VC_16;ALQTBID12_M_VU_16;ALQTBID12_25_VU_16;ALQTBID12_75_VU_16;SLVM2_M_VC_16;SLVM2_25_VC_16;SLVM2_75_VC_16;SLVM2_M_VU_16;SLVM2_25_VU_16;SLVM2_75_VU_16;BI_ALVHEPCO_TVC_17;BI_ALVHEPCO_TVU_17;ALQM2mes_LV_M_VC_17;ALQM2mes_LV_25_VC_17;ALQM2mes_LV_75_VC_17;ALQM2mes_LV_M_VU_17;ALQM2mes_LV_25_VU_17;ALQM2mes_LV_75_VU_17;ALQTBID12_M_VC_17;ALQTBID12_25_VC_17;ALQTBID12_75_VC_17;ALQTBID12_M_VU_17;ALQTBID12_25_VU_17;ALQTBID12_75_VU_17;SLVM2_M_VC_17;SLVM2_25_VC_17;SLVM2_75_VC_17;SLVM2_M_VU_17;SLVM2_25_VU_17;SLVM2_75_VU_17;BI_ALVHEPCO_TVC_18;BI_ALVHEPCO_TVU_18;ALQM2mes_LV_M_VC_18;ALQM2mes_LV_25_VC_18;ALQM2mes_LV_75_VC_18;ALQM2mes_LV_M_VU_18;ALQM2mes_LV_25_VU_18;ALQM2mes_LV_75_VU_18;ALQTBID12_M_VC_18;ALQTBID12_25_VC_18;ALQTBID12_75_VC_18;ALQTBID12_M_VU_18;ALQTBID12_25_VU_18;ALQTBID12_75_VU_18;SLVM2_M_VC_18;SLVM2_25_VC_18;SLVM2_75_VC_18;SLVM2_M_VU_18;SLVM2_25_VU_18;SLVM2_75_VU_18
02;Albacete;02004;Albatana;0200401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
02;Albacete;02005;Alborea;0200501;2;2;;;;;;;;;;;;;;;;;;;1;4;;;;;;;;;;;;;;;;;;;2;4;;;;;;;;;;;;;;;;;;;2;5;;;;;;;;;;;;;;;;;;
02;Albacete;02006;Alcadozo;0200601;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
02;Albacete;02007;Alcal† del J£car;0200701;7;4;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;;13;3;3,23178501100428;2,5;4,42436203240951;;;;300;250;319;;;;88;72;98;;;;8;3;;;;;;;;;;;;;;;;;;
02;Albacete;02008;Alcaraz;0200801;4;7;;;;;;;;;;;;;;;;;;;5;5;;;;;;;;;;;;;;;;;;;5;4;;;;;;;;;;;;;;;;;;;6;3;;;;;;;;;;;;;;;;;;
02;Albacete;02009;Almansa;0200901;26;6;3,22916666666667;2,49951194117264;4,30761316872428;;;;320;245;455;;;;100;86;115;;;;27;5;3,04878048780487;1,95823886491626;5,49379652605459;;;;300;240;413;;;;99;82;114;;;;24;5;3,25;2,65486725663717;6,37254901960784;;;;325;250;360;;;;99;82;113;;;;37;9;4,9170524691358;3,42312900641026;6,40466245202078;;;;398;305;638;;;;97;80;114;;;
02;Albacete;02009;Almansa;0200902;39;2;3,74029850746268;2,54186602870813;5,40017825311943;;;;350;260;463;;;;101;72;116;;;;48;3;3,49514563106796;2,27272727272727;5;;;;333;260;470;;;;98;67;115;;;;57;3;4,32298951048951;2,85370879120879;6,02115003304693;;;;333;254;587;;;;97;64;114;;;;61;2;4,59766533732137;3,00164285168488;6,49755942275043;;;;351;282;608;;;;95;60;116;;;
02;Albacete;02009;Almansa;0200903;170;7;3,7037037037037;2,58604336043361;5,62962962962963;;;;325;253;450;;;;104;78;123;;;;199;8;3,88619201725997;3,00819925742574;5,75571479885058;;;;350;270;500;;;;100;74;119;;;;212;12;4,02298850574713;2,97029702970297;5,73422330097088;2,33333333333333;1,26582278481013;5,24193548387097;350;270;480;350;250,02500250025;600;101;74;116;196;127;237;233;12;4;2,85469667318982;5,87009803921568;3,03030303030303;2,17391304347826;5,20885421875521;330;279;474;400;300;650;101;75;120;196;175;237
02;Albacete;02009;Almansa;0200904;18;14;2,94117647058823;1,84542049710589;4,82135076252723;2,89855072463768;1,43589743589743;3,57399282010371;300;200;450;400;240;595;102;88;110;170;104,5;233;18;12;3,15068493150685;2,36635165896392;4,89562289562289;2,89855072463768;1,10236220472441;4,58336240310078;280;228;500;400;250;640;96;87;110;170;109;269;18;14;2,87356321839081;2,176468941737;4,30489417989418;2,58620689655172;1,20555555555556;3,96180036981722;250;200;450;400;144;625;94;84;110;170;100;270,5;24;12;3,20776255707763;2,4822695035461;5,05050505050505;2,58620689655172;1,8348623853211;6,40476190476191;300;225;500;450;200;650;94;84;109;148;100;207
02;Albacete;02010;Alpera;0201001;3;3;;;;;;;;;;;;;;;;;;;2;3;;;;;;;;;;;;;;;;;;;2;8;;;;;;;;;;;;;;;;;;;3;8;;;;;;;;;;;;;;;;;;
